distance,aoa
115.85,-8.25
123.36,-12.3
121.01,-11.91
116.32,-15.31
118.2,-12.88
117.73,-12.35
117.73,-12.0
118.67,-12.57
109.75,-8.38
115.38,-9.49
117.73,-8.14
119.6,-6.87
118.2,-5.13
118.67,-10.59
118.67,-2.78
117.73,-9.03
118.2,-6.01
